Release 10.1.03 - par K.39 (lin)
Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

Tue Jun 24 16:12:02 2014


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       system_map.ncd
OUTPUT FILE:      system_pad.txt
PART TYPE:        xc2vp50
SPEED GRADE:      -6
PACKAGE:          ff1152

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name        |Pin Usage|Pin Name        |Direction  |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|A2        |                   |GTIPAD   |RXNPAD11        |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A3        |                   |GTIPAD   |RXPPAD11        |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A4        |                   |GTOPAD   |TXPPAD11        |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A5        |                   |GTOPAD   |TXNPAD11        |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A6        |                   |GTIPAD   |RXNPAD9         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A7        |                   |GTIPAD   |RXPPAD9         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A8        |                   |GTOPAD   |TXPPAD9         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A9        |                   |GTOPAD   |TXNPAD9         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A10       |                   |GTIPAD   |RXNPAD8         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A11       |                   |GTIPAD   |RXPPAD8         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A12       |                   |GTOPAD   |TXPPAD8         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A13       |                   |GTOPAD   |TXNPAD8         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A14       |                   |GTIPAD   |RXNPAD7         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A15       |                   |GTIPAD   |RXPPAD7         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A16       |                   |GTOPAD   |TXPPAD7         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A17       |                   |GTOPAD   |TXNPAD7         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A18       |                   |GTIPAD   |RXNPAD6         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A19       |                   |GTIPAD   |RXPPAD6         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A20       |                   |GTOPAD   |TXPPAD6         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A21       |                   |GTOPAD   |TXNPAD6         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A22       |                   |GTIPAD   |RXNPAD5         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A23       |                   |GTIPAD   |RXPPAD5         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A24       |                   |GTOPAD   |TXPPAD5         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A25       |                   |GTOPAD   |TXNPAD5         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A26       |                   |GTIPAD   |RXNPAD4         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A27       |                   |GTIPAD   |RXPPAD4         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A28       |                   |GTOPAD   |TXPPAD4         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A29       |                   |GTOPAD   |TXNPAD4         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A30       |                   |GTIPAD   |RXNPAD2         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A31       |                   |GTIPAD   |RXPPAD2         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A32       |                   |GTOPAD   |TXPPAD2         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|A33       |                   |GTOPAD   |TXNPAD2         |UNUSED     |           |              |          |         |           |         |         |          |         |           |                |
|AA1       |                   |DIFFM    |IO_L60P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AA2       |                   |DIFFS    |IO_L54N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AA3       |                   |DIFFS    |IO_L52N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AA4       |                   |DIFFM    |IO_L52P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AA5       |                   |DIFFS    |IO_L49N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AA6       |                   |DIFFM    |IO_L49P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AA7       |                   |DIFFS    |IO_L47N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AA8       |                   |DIFFM    |IO_L47P_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AA9       |                   |DIFFS    |IO_L44N_3       |UNUSED     |           |3             |          |         |           |         |         |          |         |           |                |
|AA10      |dnepr_RX           |IOB      |IO_L44P_3       |INPUT      |LVCMOS25*  |3             |          |         |           |NONE     |         |          |         |YES        |NONE            |
|AA11      |                   |         |VCCO_3          |           |           |3             |          |         |           |         |2.50     |          |         |           |                |
|AA12      |                   |         |VCCO_3          |           |           |3             |          |         |           |         |2.50     |          |         |           |                |
|AA13      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AA14      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AA15      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AA16      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AA17      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AA18      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AA19      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AA20      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AA21      |                   |         |GND             |           |           |              |          |         |           |         |         |          |         |           |                |
|AA22      |                   |         |VCCINT          |           |           |              |          |         |           |         |1.5      |          |         |           |                |
|AA23      |                   |         |VCCO_6          |           |           |6             |          |         |           |         |3.30     |          |         |           |                |
|AA24      |                   |         |VCCO_6          |           |           |6             |          |         |           |         |3.30     |          |         |           |                |
|AA25      |                   |DIFFM    |IO_L44P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AA26      |                   |DIFFS    |IO_L44N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AA27      |Flash_A<3>         |IOB      |IO_L47P_6       |OUTPUT     |LVTTL      |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|AA28      |                   |DIFFS    |IO_L47N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AA29      |                   |DIFFM    |IO_L49P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AA30      |Flash_A<29>        |IOB      |IO_L49N_6       |OUTPUT     |LVTTL      |6             |12        |SLOW     |PULLUP     |         |         |LOCATED   |         |YES        |NONE            |
|AA31      |                   |DIFFM    |IO_L52P_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AA32      |                   |DIFFS    |IO_L52N_6       |UNUSED     |           |6             |          |         |           |         |         |          |         |           |                |
|AA33      |Flash_DQ<13>       |IOB      |IO_L54N_6       |BIDIR      |LVTTL      |6             |12        |SLOW     |PULLUP     |NONE     |         |LOCATED   |         |YES        |NONE            |
